epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,6036.49,0.49785,0.32378,0.86688,0.99602,1,0.995,0.879,0.5599,0.36417,0.86362,0.000713,0.000713,0.000713
67,6126.31,0.47173,0.33309,0.87929,0.99555,1,0.995,0.86806,0.55632,0.34708,0.86382,0.0006932,0.0006932,0.0006932
68,6216.53,0.51371,0.3271,0.87822,0.99505,1,0.995,0.85267,0.56806,0.33964,0.86273,0.0006734,0.0006734,0.0006734
69,6304.39,0.51031,0.33707,0.86287,0.99679,1,0.995,0.85054,0.60313,0.34311,0.86761,0.0006536,0.0006536,0.0006536
70,6393.38,0.50855,0.33149,0.89304,0.9969,1,0.995,0.85736,0.61386,0.34794,0.8698,0.0006338,0.0006338,0.0006338
71,6481.36,0.49186,0.31987,0.85134,0.99691,1,0.995,0.87197,0.60559,0.34037,0.86378,0.000614,0.000614,0.000614
72,6569.14,0.47947,0.30213,0.87298,0.99691,1,0.995,0.86343,0.59231,0.32715,0.85886,0.0005942,0.0005942,0.0005942
73,6659.13,0.461,0.3378,0.86586,0.99687,1,0.995,0.86836,0.57438,0.32152,0.85483,0.0005744,0.0005744,0.0005744
74,6749.27,0.47199,0.29386,0.85956,0.99684,1,0.995,0.88113,0.56286,0.31116,0.851,0.0005546,0.0005546,0.0005546
75,6839.56,0.46698,0.3115,0.87145,0.99682,1,0.995,0.8828,0.54895,0.30475,0.84105,0.0005348,0.0005348,0.0005348
76,6928.12,0.44791,0.29068,0.89038,0.99677,1,0.995,0.90359,0.54113,0.29974,0.83499,0.000515,0.000515,0.000515
77,7017.9,0.48819,0.2998,0.8759,0.99679,1,0.995,0.87532,0.54092,0.29498,0.83356,0.0004952,0.0004952,0.0004952
78,7106.59,0.47248,0.31147,0.88967,0.99676,1,0.995,0.86988,0.54716,0.29894,0.83638,0.0004754,0.0004754,0.0004754
79,7195.68,0.46682,0.30118,0.85255,0.99681,1,0.995,0.86625,0.5531,0.29548,0.84104,0.0004556,0.0004556,0.0004556
80,7283.87,0.46819,0.31003,0.87743,0.99679,1,0.995,0.88155,0.55758,0.29425,0.84324,0.0004358,0.0004358,0.0004358
81,7372.9,0.46816,0.29579,0.84196,0.99663,1,0.995,0.89202,0.56168,0.29718,0.84404,0.000416,0.000416,0.000416
82,7462.12,0.42744,0.28461,0.86492,0.99648,1,0.995,0.89849,0.55523,0.30341,0.84375,0.0003962,0.0003962,0.0003962
83,7550.7,0.42458,0.27067,0.88367,0.99631,1,0.995,0.90227,0.54694,0.30078,0.84416,0.0003764,0.0003764,0.0003764
84,7639.33,0.44391,0.29487,0.88258,0.99651,1,0.995,0.90179,0.53737,0.29314,0.84045,0.0003566,0.0003566,0.0003566
85,7727.61,0.46618,0.28733,0.85676,0.99671,1,0.995,0.90705,0.53423,0.28746,0.83818,0.0003368,0.0003368,0.0003368
86,7816.79,0.44702,0.27648,0.86554,0.99685,1,0.995,0.91131,0.53638,0.27902,0.83705,0.000317,0.000317,0.000317
87,7904.92,0.44876,0.28346,0.84487,0.9968,1,0.995,0.91175,0.54413,0.27849,0.8395,0.0002972,0.0002972,0.0002972
88,7994.51,0.43355,0.27524,0.83441,0.99679,1,0.995,0.89609,0.54215,0.28168,0.84091,0.0002774,0.0002774,0.0002774
89,8083.51,0.42658,0.27837,0.8461,0.99681,1,0.995,0.89887,0.53461,0.2839,0.84065,0.0002576,0.0002576,0.0002576
90,8173.28,0.44193,0.2768,0.83228,0.99687,1,0.995,0.90853,0.52638,0.28672,0.83836,0.0002378,0.0002378,0.0002378
91,8263.05,0.41101,0.2616,0.81908,0.99685,1,0.995,0.91561,0.51819,0.28862,0.83674,0.000218,0.000218,0.000218
92,8352.03,0.4317,0.27409,0.85556,0.99688,1,0.995,0.90842,0.51468,0.28692,0.83662,0.0001982,0.0001982,0.0001982
93,8441.22,0.42343,0.27445,0.84674,0.99682,1,0.995,0.91663,0.51363,0.28152,0.83701,0.0001784,0.0001784,0.0001784
94,8530.68,0.41141,0.26828,0.81036,0.99686,1,0.995,0.91449,0.50945,0.28115,0.83641,0.0001586,0.0001586,0.0001586
95,8620.91,0.4254,0.25789,0.84299,0.99682,1,0.995,0.91159,0.50488,0.27863,0.83536,0.0001388,0.0001388,0.0001388
96,8710.78,0.44706,0.26513,0.87203,0.99683,1,0.995,0.92369,0.49996,0.27435,0.83367,0.000119,0.000119,0.000119
97,8800.04,0.41527,0.25271,0.84847,0.99684,1,0.995,0.92711,0.49439,0.26963,0.83264,9.92e-05,9.92e-05,9.92e-05
98,8888.32,0.41691,0.26385,0.80451,0.99684,1,0.995,0.92743,0.49132,0.2638,0.83192,7.94e-05,7.94e-05,7.94e-05
99,8978.66,0.41244,0.25887,0.81861,0.9968,1,0.995,0.92336,0.48876,0.25976,0.83138,5.96e-05,5.96e-05,5.96e-05
100,9067.92,0.41111,0.25937,0.83962,0.99682,1,0.995,0.92336,0.48734,0.25882,0.8312,3.98e-05,3.98e-05,3.98e-05
