epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,6003.25,0.74483,1.08634,0.85869,0.66271,0.72734,0.68014,0.58252,0.60392,1.04228,0.83664,0.00031109,0.00031109,0.00031109
59,6086.29,0.74065,1.13933,0.8738,0.67788,0.69339,0.69614,0.60783,0.59199,1.01761,0.83229,0.000304021,0.000304021,0.000304021
60,6169.32,0.7565,1.09331,0.86757,0.68922,0.72534,0.70404,0.6136,0.57878,1.02012,0.83124,0.000296953,0.000296953,0.000296953
61,6252.22,0.72953,1.10178,0.86608,0.69699,0.72829,0.70022,0.60698,0.58874,1.0259,0.83336,0.000289884,0.000289884,0.000289884
62,6334.97,0.66323,0.98966,0.83473,0.71154,0.6979,0.68798,0.5987,0.5883,1.02322,0.83646,0.000282815,0.000282815,0.000282815
63,6415.31,0.78648,1.12224,0.88253,0.73477,0.69073,0.69813,0.6074,0.57845,1.02042,0.83302,0.000275747,0.000275747,0.000275747
64,6495.47,0.762,1.09726,0.87429,0.74966,0.66763,0.71604,0.61351,0.59202,1.03187,0.8363,0.000268678,0.000268678,0.000268678
65,6575.28,0.75825,1.09514,0.87921,0.74865,0.68162,0.72094,0.62079,0.60175,1.02931,0.84011,0.00026161,0.00026161,0.00026161
66,6656.56,0.74279,1.04541,0.87235,0.75346,0.72432,0.73202,0.64077,0.59971,0.97314,0.84512,0.000254541,0.000254541,0.000254541
67,6760.47,0.72925,0.9993,0.86464,0.7837,0.70717,0.75291,0.65721,0.60359,0.9428,0.85003,0.000247472,0.000247472,0.000247472
68,6841.18,0.73302,1.00391,0.86528,0.77321,0.68277,0.74763,0.65243,0.59736,0.96576,0.8452,0.000240404,0.000240404,0.000240404
69,6921.85,0.63766,0.93784,0.84616,0.78084,0.66928,0.73395,0.64018,0.59186,0.96579,0.84162,0.000233335,0.000233335,0.000233335
70,7003.21,0.69194,0.96621,0.83795,0.7595,0.7091,0.74068,0.6452,0.58929,0.95483,0.84067,0.000226267,0.000226267,0.000226267
71,7087.79,0.77351,1.01804,0.86169,0.75398,0.74412,0.76199,0.65933,0.59475,0.92631,0.841,0.000219198,0.000219198,0.000219198
72,7170.87,0.71685,0.95858,0.85379,0.76168,0.74311,0.77691,0.6766,0.58388,0.8709,0.83626,0.000212129,0.000212129,0.000212129
73,7253.88,0.6813,0.98142,0.86577,0.80766,0.72144,0.77786,0.67987,0.57822,0.85347,0.83505,0.000205061,0.000205061,0.000205061
74,7337.13,0.68128,0.92355,0.84113,0.79916,0.72453,0.77773,0.67717,0.578,0.86412,0.837,0.000197992,0.000197992,0.000197992
75,7420.3,0.76682,1.00554,0.86431,0.7878,0.73404,0.77144,0.66814,0.58247,0.8792,0.83512,0.000190924,0.000190924,0.000190924
76,7503.33,0.68788,0.91135,0.84975,0.79219,0.73427,0.77179,0.66957,0.5801,0.87239,0.83544,0.000183855,0.000183855,0.000183855
77,7586.9,0.72302,0.91439,0.86491,0.8298,0.70226,0.77321,0.66877,0.58023,0.86429,0.83611,0.000176786,0.000176786,0.000176786
78,7670.28,0.69205,0.90693,0.86666,0.84876,0.7157,0.78279,0.67184,0.57968,0.85132,0.83738,0.000169718,0.000169718,0.000169718
79,7750.95,0.69186,0.89168,0.86558,0.83795,0.70971,0.78415,0.67917,0.58413,0.8624,0.84201,0.000162649,0.000162649,0.000162649
80,7831.42,0.75686,0.9378,0.86589,0.80189,0.71299,0.77095,0.66764,0.58009,0.88819,0.84153,0.000155581,0.000155581,0.000155581
81,7911.93,0.7061,0.86719,0.85458,0.75984,0.72409,0.75807,0.65888,0.58132,0.91061,0.84305,0.000148512,0.000148512,0.000148512
82,7992.42,0.6625,0.83728,0.83703,0.80133,0.70717,0.7619,0.66327,0.58571,0.90395,0.84677,0.000141443,0.000141443,0.000141443
83,8072.37,0.62508,0.82384,0.84157,0.81677,0.69463,0.77154,0.6763,0.57404,0.87013,0.84179,0.000134375,0.000134375,0.000134375
84,8152.8,0.71191,0.88623,0.86065,0.8325,0.70638,0.777,0.68363,0.57555,0.8487,0.84146,0.000127306,0.000127306,0.000127306
85,8232.45,0.69726,0.82764,0.86035,0.83684,0.70308,0.77186,0.67631,0.57614,0.86227,0.84172,0.000120238,0.000120238,0.000120238
86,8312.34,0.62693,0.83586,0.84085,0.86731,0.68673,0.77693,0.67976,0.57483,0.85629,0.84146,0.000113169,0.000113169,0.000113169
87,8392.32,0.65734,0.80484,0.84084,0.88522,0.68163,0.78543,0.68548,0.57677,0.85775,0.84343,0.0001061,0.0001061,0.0001061
88,8472.22,0.66827,0.82207,0.85564,0.83913,0.71353,0.77745,0.68209,0.57536,0.86944,0.84185,9.90318e-05,9.90318e-05,9.90318e-05
89,8552.55,0.61506,0.75992,0.83097,0.83862,0.71086,0.77668,0.68163,0.57697,0.86558,0.84219,9.19632e-05,9.19632e-05,9.19632e-05
90,8633,0.71487,0.87294,0.86945,0.85366,0.69587,0.7765,0.67898,0.58061,0.85324,0.84063,8.48946e-05,8.48946e-05,8.48946e-05
91,8710.52,0.64264,0.81697,0.86547,0.86682,0.68426,0.78304,0.68206,0.58052,0.8456,0.84278,7.7826e-05,7.7826e-05,7.7826e-05
92,8787.3,0.63556,0.8301,0.86256,0.84946,0.71589,0.78602,0.68376,0.57583,0.86422,0.84381,7.07574e-05,7.07574e-05,7.07574e-05
93,8864.34,0.63224,0.83265,0.85708,0.85837,0.71038,0.78603,0.68447,0.57947,0.87894,0.84652,6.36888e-05,6.36888e-05,6.36888e-05
94,8941.04,0.63717,0.849,0.84834,0.84639,0.69331,0.77509,0.67259,0.58269,0.90918,0.84844,5.66202e-05,5.66202e-05,5.66202e-05
95,9017.68,0.64295,0.83687,0.85022,0.84577,0.69104,0.77226,0.67448,0.57696,0.90095,0.84354,4.95516e-05,4.95516e-05,4.95516e-05
96,9094.22,0.62212,0.80631,0.85151,0.8287,0.70164,0.7756,0.67918,0.57068,0.87303,0.84113,4.2483e-05,4.2483e-05,4.2483e-05
97,9170.76,0.61146,0.78735,0.84186,0.83346,0.70358,0.77877,0.68189,0.56934,0.85876,0.83966,3.54144e-05,3.54144e-05,3.54144e-05
98,9247.46,0.62428,0.80518,0.84943,0.87094,0.69453,0.78719,0.6866,0.56676,0.83682,0.8381,2.83458e-05,2.83458e-05,2.83458e-05
99,9324.9,0.59622,0.76663,0.84512,0.88956,0.68928,0.79071,0.69032,0.56383,0.82353,0.83779,2.12772e-05,2.12772e-05,2.12772e-05
100,9401.44,0.61173,0.78313,0.8431,0.89522,0.6948,0.79394,0.69231,0.55969,0.8211,0.83678,1.42086e-05,1.42086e-05,1.42086e-05
